response_time_ms,phase,actual_anomaly,anomaly_score,predicted_anomaly,risk_score,severity
44.82,normal,0,-0.07291072292806977,0,17.070860458931328,NORMAL
36.76,normal,0,-0.06696846270452772,0,18.233628064725938,NORMAL
44.7,normal,0,-0.08896398662132515,0,13.929595302645462,NORMAL
43.01,normal,0,-0.06477260736007978,0,18.663307911364004,NORMAL
41.48,normal,0,-0.09630429956785885,0,12.4932600043679,NORMAL
39.41,normal,0,-0.1561085800194698,0,0.790898044268698,NORMAL
38.36,normal,0,-0.12998133896294994,0,5.903415568989191,NORMAL
40.57,normal,0,-0.07876724183381123,0,15.924870514004159,NORMAL
44.95,normal,0,-0.04474501479569981,0,22.58226046138089,NORMAL
44.69,normal,0,-0.08768405782852035,0,14.180048780280293,NORMAL
42.2,normal,0,-0.08855107916155597,0,14.010392070264025,NORMAL
37.46,normal,0,-0.08539395281285767,0,14.628171182515489,NORMAL
38.5,normal,0,-0.1322254728730205,0,5.464288685357052,NORMAL
38.37,normal,0,-0.13087234874222453,0,5.729064855824169,NORMAL
42.02,normal,0,-0.10737281267130483,0,10.327399204463623,NORMAL
39.7,normal,0,-0.12999183183794016,0,5.901362347711209,NORMAL
36.81,normal,0,-0.07394511802703846,0,16.868452441202923,NORMAL
146.69,normal,0,0.3508941068691115,1,100.0,CRITICAL
37.07,normal,0,-0.06536241446857743,0,18.54789583353015,NORMAL
38.98,normal,0,-0.1516767996519468,0,1.658098478698784,NORMAL
37.6,normal,0,-0.08845389941842607,0,14.029407975492006,NORMAL
39.51,normal,0,-0.16015042119728917,0,0.0,NORMAL
43.5,normal,0,-0.09228795278378193,0,13.279169365196644,NORMAL
43.82,normal,0,-0.07721991812946327,0,16.227647203581963,NORMAL
38.93,normal,0,-0.14786131092232602,0,2.40470440442059,NORMAL
46.73,normal,0,0.11797165676756105,1,54.4222788212133,WARNING
39.0,normal,0,-0.15079726627150697,0,1.8302035169363826,NORMAL
34.77,normal,0,0.07823219123153324,1,46.64615299390292,NORMAL
36.07,normal,0,-0.0,0,31.33786048022818,NORMAL
38.08,normal,0,-0.10063232840583686,0,11.646361426986857,NORMAL
39.52,normal,0,-0.15972653733365033,0,0.08294460469866632,NORMAL
2040.44,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2035.92,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2032.48,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2041.48,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2043.85,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2041.39,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2043.32,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2033.85,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2039.38,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2036.28,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2037.32,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2041.12,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2041.05,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2039.19,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2040.59,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2035.74,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2034.34,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2036.29,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2042.13,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2041.74,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2034.87,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2037.22,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2035.37,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2042.33,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2039.38,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
2042.45,abnormal,1,0.3508941068691115,1,100.0,CRITICAL
38.61,recovery,0,-0.13635223188521828,0,4.65677411753419,NORMAL
44.28,recovery,0,-0.06691582078070035,0,18.24392891346539,NORMAL
41.61,recovery,0,-0.1015373291590913,0,11.46927299270137,NORMAL
39.49,recovery,0,-0.1593356736736306,0,0.15942789305293262,NORMAL
42.0,recovery,0,-0.10797237356967193,0,10.210078527802509,NORMAL
35.22,recovery,0,0.0303686102707027,1,37.28031922948943,NORMAL
39.64,recovery,0,-0.14010516569028414,0,3.9224087933880645,NORMAL
43.53,recovery,0,-0.09430893062902412,0,12.883709139276839,NORMAL
41.05,recovery,0,-0.07415126512839115,0,16.82811405774881,NORMAL
39.25,recovery,0,-0.14790180102707284,0,2.396781395265199,NORMAL
